Cluster3
CCR2
GZMA
MXI1
KLRC1
CD8A
SMOX
ATP2B4
SYTL2
LAMC1
CTLA4
RAB8B
IMPA2
ITGAL
PIK3R1
SERPINB1A
HIP1R
THY1
LMNB1
ANXA6
SPN
ITGB1
PLAC8
ID2
CCR5
PLXNC1
RORA
KLRK1
ADAM8
DUSP5
PDCD1
ANXA2
IL18RAP
GZMB
CXCR6
CCL5
