Cluster2
PYHIN1
DGAT1
CTLA2A
VIM
NR3C1
PLD3
PBXIP1
CRIP1
S100A10
AHNAK
COTL1
SPATA13
SAMHD1
LTB
PREX1
SHISA5
SAMD9L
FYB
SP100
PDCD4
RASA3
EPSTI1
ATP8B4
IL7R
TECPR1
SASH3
EMB
LGALS3
LAPTM5
ITGB3
SORL1
RNF213
IFIT1
STAT1
LGALS3BP
PARP14
DTX3L
IRF7
GBP2
GBP4
IFI47
IGTP
TRIB2
ZFP281
ELOVL6
ACP5
IFNGR2
IIGP1
INPP4B
ARL4C
GPR146
IL18R1
ABCB1B
LGALS1
