Cluster4
MYH9
CD52
PDE2A
DGKA
NEURL3
SSH2
HMHA1
S1PR1
SELL
CCR7
SOCS3
LEF1
JUN
TCF7
SATB1
KLF2
IL4RA
5730508B09RIK
RAPGEF6
KIF1B
INADL
ABLIM1
PIK3IP1
BEND4
ZEB1
RPS20
IRF1
OSBPL9
ACTN1
TXK
CMAH
GM26917
FAM101B
TDRP
KLHDC2
RPS19
KBTBD11
RPLP1
GRK6
PDE4D
GTF2I
RPS24
PRKCH
RPS21
SMC4
BACH2
VPS37B
SH3BP5
EEF1B2
RPS9
GBP9
RPS5
