Cluster1
CCL4
IFNG
CCL3
NR4A1
IRF8
NR4A3
MYBBP1A
IRF4
IL2RA
RGS16
NOLC1
SLC7A1
DDX21
TFRC
GADD45B
ALCAM
XCL1
NOP58
TNFRSF9
NSUN2
HNRNPAB
NFKB1
HEATR1
MYC
HSPA9
CCL9
NR4A2
MDN1
NCL
DOT1L
HSPH1
PPAN
PA2G4
NOP56
ATAD3A
CCT3
SYTL3
HSPA5
EIF5A
SLC1A5
CLUH
FTSJ3
EIF3B
HAVCR2
NPM1
PLEK
GM11974
PDCD11
C1QBP
ZEB2
CRTAM
4632428N05RIK
ZBTB32
CCT6A
GPR65
IPO5
TNFSF14
PERP
TSR1
NFKBID
PPA1
REL
SRM
SERPINB9
MAT2A
NOC2L
WDR43
GNL3
DUSP4
FUBP1
NFKBIB
NFKBIZ
SRGN
EEA1
ABCE1
GM20645
GTPBP4
CCT8
KDM6B
HSPD1
LARP1
RANBP1
RBPJ
EHD1
HSP90AB1
MTHFD1
EBNA1BP2
HSPA8
NOP2
NARS
PLCXD2
EPRS
NHP2
CSRNP1
SLC16A1
SEPT11
CCT5
RILPL2
NABP1
LDHA
ATXN1
SLA
SLC4A7
ALDOA
HK2
SUB1
DUSP2
TIGIT
TNFRSF1B
STAT3
RGS1
AEBP2
P4HB
IL12RB2
CD6
HSP90B1
HYOU1
SH2D2A
RUNX2
FAM129A
SLC16A3
HIF1A
YBX3
NKG7
BHLHE40
ICOS
SERPINB6B
