orig.ident,TCR_Recovery,Rate
m1,TRA,0.5599128540305011
m2,TRA,0.6400832177531207
m5,TRA,0.6575121163166397
Tol.Vac.4,TRA,0.2846320346320346
m1,TRB,0.49377593360995853
m2,TRB,0.5182849936948297
m5,TRB,0.6282828282828283
Tol.Vac.4,TRB,0.4857142857142857
m1,TRAB,0.3404539385847797
m2,TRAB,0.37817258883248733
m5,TRAB,0.4633642930856553
Tol.Vac.4,TRAB,0.16370558375634517
