orig.ident,TCR_Recovery,Rate
m1,TRA,0.5972382048331415
m2,TRA,0.7850609756097561
m3,TRA,0.7596067917783735
m4,TRA,0.4037433155080214
m1,TRB,0.726078799249531
m2,TRB,0.8807260155574762
m3,TRB,0.8353909465020576
m4,TRB,0.7553444180522565
m1,TRAB,0.49382716049382713
m2,TRAB,0.7197149643705463
m3,TRAB,0.6531440162271805
m4,TRAB,0.3586206896551724
