CCR7,IFITM1,PROS1,,NCAPG,GNA15,SULT1B1,,NCAPG,TNFSF9,SFXN4,SMAD3,CSTF3,SIPA1
IL24,IFITM3,TG,,NLK,MAST4,ATM,,NLK,FBXO34,CYP1B1,PRKACB,STAP1,IRF2BP1
IL4RA,NOD1,KCNK5,,NSMAF,SLC41A2,SELL,,NSMAF,GADD45B,SLC7A5,IL10RA,SOS1,BCL3
IL21,IL12RB2,ADK,,NUDT15,GRAMD4,GIMAP2,,NUDT15,HEBP2,C17orf58,LRRC37B,EXOC6,KLF16
CXCL10,MXD1,ERO1L,,PLOD2,SPATS2L,SESN3,,PLOD2,DDR1,SLC4A5,SORL1,OAS2,CCDC107
IL6RA,USP18,AFG3L2,,PON3,DDIT4,CACNA1I,,PON3,FYN,POLA1,IFNAR2,IFI44L,MAP1S
IL16,KLRD1,PLEKHF1,,PRR11,SMCO4,C1orf162,,PRR11,JAK3,SLC7A1,HSD17B11,MAF,TSPAN18
,KLRK1,SLC17A6,,RCBTB1,IRF5,EVI2B,,RCBTB1,ADORA2A,UBXN8,42437,CYSLTR1,RRP12
,KLRC1,ADAMTSL3,,RSAD2,TNFRSF18,ATG9B,,RSAD2,ADORA2B,IL12RB2,GAB2,LRRN3,GNA15
,BST1,TMEM140,,SATB1,TOX2,RASA3,,SATB1,F2R,LRP8,TIMP1,PDLIM5,GRASP
,HOPX,GSTK1,,SCARNA17,SPATA24,C14orf132,,SCARNA17,GABRA4,SOCS3,PPP3CA,RASA1,STX1A
,PLAC8,GPNMB,,SETBP1,TYMP,TXK,,SETBP1,KCNJ11,TNFRSF4,GCNT4,ZNF518A,RFX1
,GEM,SEMA4F,,SH2D1A,PRDM1,MFGE8,,SH2D1A,KCNK5,BLM,PIK3R1,C12orf76,TSSK3
,CSF1,PPARG,,SNORD35B,RTKN2,DBP,,SNORD35B,KCNQ5,TNFSF11,ZFAND2B,PRIMPOL,ABCA1
,GBP6,BCL2L14,,TAF1A,SGPP2,SERINC5,,TAF1A,CASP4,CCR8,TCF7,,JUN
,GBP3,CXCL3,,TINF2,COL9A2,EVI2A,,TINF2,CTSE,WDR70,STK38,,FOS
,GBP2,AREG,,TMEM140,SPPL2A,MMP28,,TMEM140,FURIN,TIMM8A,MXI1,,MLF1
,IFI44,S100A1,,TMEM2,TTC7A,ACACB,,TMEM2,TINAG,MNAT1,TMEM63A,,FOSB
,IL15RA,ADAMTSL4,,TNFSF4,CREM,SH3YL1,,TNFSF4,GGA2,GZMB,P2RY8,,C14orf80
,GALNT3,ECM1,,TPX2,P2RX7,RASGRP2,,TPX2,SLC29A3,E2F5,CDC25B,,CLASRP
,P2RX3,PLA2G12A,,TXNIP,ETV6,ACTN1,,TXNIP,STX11,HIBCH,MS4A2,,IRF2BPL
,ATP8B4,GATA3,,USP18,TNS4,DPEP2,,USP18,CDC14A,C9orf91,CCDC28A,,
,PRNP,PTER,,,SOCS2,CSGALNACT1,,,DUSP6,NHP2,CNPY4,,
,IL18RAP,CALCRL,,,LRRC3,TMEM143,,,HIF1AN,VDR,MYBL1,,
,ACADL,TFPI,,,STX1A,EDAR,,,HSPA1A,CSF1,CCNG2,,
,RUFY4,CHAC1,,,CCDC50,ADPRM,,,IER3,GPATCH4,KLHL24,,
,CXCR1,CST7,,,MYO1C,TMEM204,,,JUP,NFKBID,CD244,,
,SERPINB5,TGM2,,,S1PR2,KLF2,,,LAG3,EHBP1,SLFN5,,
,TMEM163,LAMA5,,,PLEKHG2,ADD3,,,LRRC3,FAM173B,ING4,,
,SELL,IL1R2,,,ACOT4,PPP1R3E,,,42431,FARS2,SFXN3,,
,PYHIN1,RNF152,,,IKZF4,TTC28,,,MMD,FLVCR2,EVI2B,,
,MNDA,IL24,,,TIFA,GCNT4,,,MYH14,NPM3,LY9,,
,DENND4A,IL10,,,MAP3K8,TMEM63A,,,MYL7,PNPO,UTRN,,
,LYSMD2,CYP11A1,,,NTRK2,IL24,,,MYO1C,MRTO4,BNIP3L,,
,,STRA6,,,FAM46C,PLCL1,,,MYO1E,SESN2,ZNF831,,
,,MYO6,,,KLHL5,LETMD1,,,NDRG1,ZDHHC21,MPP7,,
,,CCR1,,,IZUMO4,SLC8B1,,,OAZ3,CBWD1,CASP8,,
,,RAB20,,,TFEB,ITGA6,,,AGAP1,ALG14,S100A4,,
,,TEX15,,,,,,,TEKT2,TNFRSF18,KLRB1,,
,,GPT2,,,,,,,TNFRSF19,PSMA6,CD52,,
,,AKR1C3,,,,,,,TNFRSF4,PTP4A3,LYZ,,
,,SUGCT,,,,,,,RNF19A,MAGOHB,C1orf186,,
,,,,,,,,,SOCS6,PLAGL2,AGPAT4,,
,,,,,,,,,KIF15,EIF2B3,MYO1F,,
,,,,,,,,,CLEC4E,URB2,CSGALNACT1,,
,,,,,,,,,CD40LG,DDX21,IL7R,,
,,,,,,,,,MPZL2,HSP90AB1,MS4A3,,
,,,,,,,,,ADGRE5,EMG1,GIMAP1,,
,,,,,,,,,LPAR4,RPL26L1,GAB3,,
,,,,,,,,,SRGN,WDR43,C3AR1,,
,,,,,,,,,42431,HUWE1,CCSAP,,
,,,,,,,,,,CD83,NRROS,,
,,,,,,,,,,LARP1B,THEMIS2,,
,,,,,,,,,,SLC38A5,FCMR,,
,,,,,,,,,,AUH,PTGDR2,,
,,,,,,,,,,IL1R1,,,
,,,,,,,,,,DUSP4,,,
,,,,,,,,,,LAYN,,,
,,,,,,,,,,SLC4A4,,,
,,,,,,,,,,DPH6,,,
,,,,,,,,,,TANGO6,,,
,,,,,,,,,,YBX3,,,
,,,,,,,,,,CTPS1,,,
