x,log2_Naive_2157A,log2_Naive_2157C,log2_Naive_2157B,log2_Memory_1962B,log2_Memory_1635B,log2_Memory_1655D,log2_DN_1655B,log2_DN_1962A,log2_DN_1716A,log2_SP_1716B,log2_SP_1944B,log2_SP_1655C,log2_DP_1635A,log2_DP_1944A,log2_DP_1655A,"anova_fdr_pvals min(anova_raw_vals,anova_log2_vals)","fold_change (min (max (mean_fc), max(median_fc))",rank_anova,rank_fc,ave_rankings,cluster
RAPH1,4.7511,5.1243,5.071,6.453,5.1732,7.6938,4.3923,6.7557,7.6199,9.461,9.8146,9.7147,9.8552,9.4735,9.7474,0.006122787,7.725941166,699,191,445,1
RAPSN,5.9448,6.0187,5.774,5.8365,5.8311,5.7494,5.2547,5.4732,5.6933,6.0221,6.2064,6.1735,6.6217,6.5693,6.7384,0.004288488,2.24485853,479,1943,1211,1
RARG,7.9151,7.788,7.819,6.6006,6.7687,6.7021,6.5832,6.7507,6.822,6.5677,6.9762,6.4969,5.1907,5.0971,5.7382,0.012140442,2.589919536,1253,1452,1352.5,8
RASA3,10.818,10.7061,10.7599,10.1664,10.3192,10.3164,9.959,10.1151,9.8681,8.8514,8.5713,8.3564,6.7351,7.4313,7.5766,0.001894025,5.794425871,181,328,254.5,4
RASD2,4.9642,5.074,4.8743,4.3923,4.3923,4.3923,4.8599,4.3923,5.277,5.1729,5.9769,5.6693,7.9581,7.9785,7.8523,0.000731808,8.495197362,36,160,98,1
RASGEF1B,4.3923,4.3923,4.3923,8.0702,7.6897,8.3987,7.7012,7.5263,7.5598,9.1507,9.2102,9.0281,8.4019,7.9392,7.913,0.003562247,2.905375149,392,1156,774,2
RASGRP2,9.8061,9.6286,9.5011,9.4807,8.8255,8.6319,9.3787,8.626,8.5517,7.2614,6.9314,6.0355,7.4225,6.2502,6.0505,0.034985155,4.608412018,2007,490,1248.5,4
RASL12,5.6965,5.5977,5.5968,5.1415,5.0118,5.1085,4.5609,4.743,4.9665,5.7401,5.9131,5.8528,5.7719,5.6003,5.8217,0.005416667,2.142497936,639,2148,1393.5,9
RASSF3,11.0153,10.9836,10.895,11.1751,11.13,11.2601,11.6086,11.3754,11.2967,10.4309,10.0872,10.0185,10.1033,9.9931,9.6785,0.005367232,2.608336103,635,1422,1028.5,4
RASSF4,4.3923,4.3923,4.3923,7.0594,7.4792,8.4719,4.9211,7.6074,6.3137,5.4216,4.3923,4.3923,5.9819,5.3896,4.3923,0.308655987,3.687320466,2974,742,1858,5
RBBP6,10.1594,10.4108,10.2543,8.655,8.7649,8.6571,9.1717,9.2572,9.2938,8.776,8.7985,8.7905,8.835,8.6687,8.783,0.00451374,1.39011185,516,2977,1746.5,3
RBM19,6.9163,6.9195,6.9309,7.0448,6.8627,6.9579,7.2619,7.2418,7.5192,7.0936,7.7604,6.9856,5.6776,4.3923,6.4438,0.068694818,3.038257902,2436,1046,1741,8
RBM38,8.4184,8.6323,8.769,5.9851,7.219,7.6923,8.304,9.2415,8.9164,7.8871,8.2392,7.929,6.9685,7.024,7.7275,0.034052089,3.018419467,1981,1063,1522,8
RBM47,5.1889,5.5235,5.1956,7.6387,7.7976,8.9385,4.3923,7.338,5.615,4.3923,4.3923,4.3923,6.88,4.8606,4.3923,0.460036448,2.400532938,3007,1685,2346,5
RBM4B,7.8161,7.8376,8.0371,7.5628,7.4058,7.388,8.282,8.0571,8.1464,7.1673,7.1146,7.1309,7.589,7.5106,7.4451,0.001708214,2.028974833,160,2480,1320,3
RBP1,5.2547,5.1356,5.0584,4.3923,4.3923,4.5765,4.8221,4.3923,5.0867,5.6057,5.9843,5.8511,6.3933,5.7355,5.5605,0.046005149,2.078860027,2194,2327,2260.5,1
RBPJ,8.1177,8.5344,8.1682,8.8308,8.0647,9.2425,8.7112,8.8375,9.4028,10.6606,10.9287,10.8689,11.2745,11.0122,11.1151,0.003291552,4.358405903,354,541,447.5,1
RCBTB2,7.3572,7.2179,7.1294,8.102,8.1316,8.2939,7.75,7.8621,7.7089,6.6898,6.4182,6.7052,6.941,6.8968,6.614,0.002773415,2.095930315,310,2273,1291.5,5
RCL1,8.0884,7.9755,7.6421,8.3336,8.4198,7.5905,8.5062,8.1469,8.5287,7.41,7.9074,7.7155,5.9391,6.0805,7.4657,0.031164654,3.346640303,1921,875,1398,4
RCN3,9.9037,9.5842,9.7513,8.5895,8.4651,8.2307,8.2975,7.7398,8.0174,6.3686,5.9292,6.5674,7.3868,7.6064,7.3412,0.009222919,3.161778149,1019,982,1000.5,3
RCOR1,8.6529,9.2437,8.7822,8.5919,8.8756,8.725,8.9552,8.9953,8.8904,8.5791,8.4452,8.5626,8.3653,8.4858,8.5795,0.009698212,1.384321929,1089,2979,2034,4
RCSD1,10.5901,10.3742,10.3525,10.2084,10.3022,10.1349,9.7844,9.9905,10.1567,9.3718,9.7665,9.7816,8.7077,8.7018,9.2552,0.027514657,2.105806944,1809,2248,2028.5,4
RECK,7.6091,7.4396,7.507,7.033,7.3447,7.0243,8.4757,8.2705,8.0691,7.231,6.5281,6.7008,4.8897,6.1404,5.4523,0.006155695,6.599492091,725,257,491,4
REEP2,6.6122,6.7099,6.6246,6.4549,6.0932,5.8394,5.3455,4.3923,5.0063,5.5811,5.5976,5.748,6.0817,6.1413,5.9642,0.019445217,2.142818051,1551,2146,1848.5,9
REEP4,7.7749,7.737,7.7415,7.5503,7.516,7.4506,7.6137,7.6075,7.6167,7.5388,7.6387,7.5229,7.9842,7.9705,8.0337,0.002165102,1.347821687,215,3007,1611,7
REM2,5.0168,5.1171,5.1521,4.4054,4.4816,4.3923,4.3923,4.3923,4.9799,6.0009,6.4435,6.6861,6.2036,6.0574,6.3476,0.009222919,3.558045103,1022,789,905.5,1
RENBP,5.794,5.7585,5.7872,6.4599,6.6148,7.0873,5.4887,6.2575,5.9979,4.4266,4.3923,5.4331,6.7536,6.9357,6.1486,0.037408799,3.606147384,2057,766,1411.5,7
REP15,6.2315,6.3661,6.293,5.7604,5.7799,5.694,5.6338,5.6463,5.7038,5.4039,5.4394,5.4219,5.8821,5.9295,5.9711,0.001449299,1.430371542,126,2947,1536.5,3
RERE,11.1947,11.2799,11.0114,9.7464,10.0972,9.771,9.7501,9.8061,9.4857,8.6417,7.8981,8.0639,4.5176,7.2669,7.4535,0.005914603,5.621277524,681,342,511.5,3
RETSAT,7.3462,6.8314,7.1664,7.4909,7.133,7.3345,7.8107,7.3806,7.4146,8.5696,8.336,7.4375,7.2791,6.7151,7.2584,0.126092944,2.117773864,2775,2221,2498,1
REV3L,8.5418,8.5959,8.4251,8.087,8.6123,8.2217,9.1075,8.8938,8.5704,8.2441,7.5024,7.6329,6.4811,7.333,7.0641,0.019229944,3.573851431,1541,777,1159,4
RFC3,6.0441,5.9083,5.5849,7.4348,7.2391,7.4906,7.4868,7.7268,7.7267,8.3262,8.2908,8.2057,8.499,8.3141,8.338,0.006695682,1.530098771,759,2880,1819.5,2
RFTN1,9.6953,9.6777,9.7027,9.6524,10.1243,10.1083,10.3232,10.8593,10.7882,8.8294,9.2011,9.5228,8.6224,9.0233,9.2638,0.014294389,3.213419711,1331,952,1141.5,4
RFX2,7.5217,7.9294,7.7256,6.9335,7.2419,6.7786,7.5676,7.4513,7.3012,5.6477,4.6191,6.4911,7.1783,7.991,6.8971,0.063390768,3.213162305,2398,954,1676,3
