x,log2_Naive_2157A,log2_Naive_2157C,log2_Naive_2157B,log2_Memory_1962B,log2_Memory_1635B,log2_Memory_1655D,log2_DN_1655B,log2_DN_1962A,log2_DN_1716A,log2_SP_1716B,log2_SP_1944B,log2_SP_1655C,log2_DP_1635A,log2_DP_1944A,log2_DP_1655A,"anova_fdr_pvals min(anova_raw_vals,anova_log2_vals)","fold_change (min (max (mean_fc), max(median_fc))",rank_anova,rank_fc,ave_rankings,cluster
0610009O20RIK,8.304,8.2986,8.3948,6.2251,6.0608,6.2164,5.9819,4.6348,4.3923,7.6591,7.3742,6.5935,6.1486,5.8866,6.2056,0.045891207,4.352899165,2193,544,1368.5,9
0610010B08RIK.GM14295.LOC627901,7.4648,7.6944,7.5323,8.1702,8.4625,9.0094,8.2368,8.9119,8.832,9.5375,9.7312,9.6609,10.0499,9.8621,10.0229,0.006813095,2.285765526,778,1875,1326.5,2
0610010F05RIK,6.2034,6.1168,6.2936,5.6522,5.7964,5.9916,5.8336,5.4048,5.9975,7.1627,7.5035,7.3122,8.1695,7.7262,8.1116,0.003969591,4.824287393,436,454,445,1
0610037D15RIK,6.5011,6.2766,6.3759,6.6599,6.0565,6.2577,6.5248,6.029,6.6414,7.2015,7.2372,7.6404,7.6277,7.588,7.2718,0.025106324,2.101561325,1748,2256,2002,1
1110004F10RIK,9.459,9.2582,9.3076,9.9832,9.9221,9.8265,9.7293,9.5488,9.725,9.8717,9.9314,9.9907,10.1184,10.1126,10.1161,0.008882349,1.311802665,984,3026,2005,2
1110007C09RIK,7.0848,7.1974,7.3012,8.7459,9.1073,8.7884,8.3396,8.3087,7.6551,7.7201,4.3923,8.6519,9.3854,10.149,8.9362,0.141110143,3.182131401,2826,971,1898.5,7
1110008L16RIK,6.9832,6.7785,6.6478,7.014,7.1971,7.179,6.9658,6.9871,7.0448,6.8447,6.7856,6.9761,6.2886,6.3075,6.2723,0.002071291,1.630807684,200,2804,1502,4
1110032A03RIK.LOC100048251,6.1163,6.5464,6.6329,7.4336,6.8229,7.0717,5.882,4.9722,6.4515,6.663,7.3543,7.1447,7.0778,6.1856,6.799,0.134204407,2.307131707,2797,1840,2318.5,10
1110032A13RIK,8.94,8.757,8.7742,8.8008,8.7276,8.6131,8.7311,8.8395,8.768,8.438,8.3983,8.5127,8.2521,8.4209,8.3298,0.008695391,1.356029596,967,3001,1984,4
1110034G24RIK,7.0723,7.0809,7.1827,7.4964,7.5472,7.1306,7.7184,7.4098,7.1953,7.0138,6.9035,6.5957,5.2996,6.0965,5.9014,0.016110889,2.876288819,1416,1178,1297,4
1110035E04RIK,5.8063,5.9907,6.0188,5.7238,5.645,6.5119,6.29,6.3525,5.806,7.6211,7.3214,7.2162,7.3708,7.2483,7.0002,0.014906753,2.05755488,1360,2396,1878,1
1110067D22RIK,4.3923,4.3983,4.3923,7.6214,7.3297,7.9745,7.2835,7.6862,8.1687,8.6543,9.0862,9.0466,9.4177,9.0948,9.3401,0.016705208,2.901590604,1443,1159,1301,2
1190002A17RIK,5.088,5.0481,5.0054,6.2508,6.4673,7.6932,6.2242,7.3488,6.7165,4.9161,4.5222,4.3923,6.0338,4.9027,4.3923,0.044967413,4.739344697,2177,464,1320.5,5
1190002F15RIK,4.3923,4.3923,4.3923,4.3923,4.3923,4.3923,4.3923,4.3923,4.4758,4.9438,5.4808,5.0391,5.6733,5.0672,5.6405,0.032611393,2.145901115,1961,2140,2050.5,1
1190002H23RIK,9.0442,9.2272,9.112,8.7989,8.7609,8.0235,9.3361,8.6319,8.6148,8.1225,7.0653,7.6472,6.1446,7.4881,6.5272,0.040401719,4.217926911,2103,572,1337.5,4
1190005F20RIK,8.3209,8.2485,8.3131,7.6504,7.996,8.1571,7.4039,8.0714,8.1133,7.6877,8.4238,7.6556,6.2385,5.8294,7.3217,0.083252615,2.586027556,2555,1457,2006,4
1200003I10RIK.1200015M12RIK.1200016E24RIK.A130040M12RIK.E430024C06RIK,13.9075,13.9435,13.9326,13.0239,13.0425,12.9711,13.2758,13.2675,13.2386,12.9117,12.9057,12.769,12.6101,12.6549,12.7221,0.002303653,1.51328858,234,2894,1564,3
1200009F10RIK,6.2365,6.4824,6.1664,6.1449,6.2389,7.2665,5.5352,6.4838,6.5029,6.9105,7.7568,7.5299,8.2301,7.38,7.6647,0.053738408,2.281465531,2297,1879,2088,1
1200016E24RIK,9.7923,9.8743,9.6647,9.2465,8.7007,8.3794,10.1173,9.5246,9.8222,8.6599,8.6812,8.7038,8.5816,8.322,8.088,0.008377369,2.828138668,918,1221,1069.5,3
1300014I06RIK,5.561,6.1682,5.8921,8.1547,7.8937,7.7555,6.8474,6.3183,7.3619,7.998,8.3488,8.4538,8.7344,8.402,8.5041,0.016713147,3.153933148,1445,986,1215.5,2
1500004A13RIK,7.3332,7.3739,7.4901,4.9283,4.7977,4.474,4.3923,4.3923,4.3923,5.2571,5.4119,5.165,4.6434,4.9694,4.5981,0.009941135,1.862136766,1115,2650,1882.5,9
1500009L16RIK,4.4987,4.3923,4.9406,7.3742,7.8023,8.5823,5.9891,7.8347,7.059,7.3771,6.9735,7.4822,8.3512,8.4434,7.9793,0.090647844,2.188780168,2605,2055,2330,2
1500011B03RIK,8.7946,8.7774,8.8125,9.4491,9.2985,9.1658,9.7452,9.5081,9.6694,8.8382,8.9332,8.9927,9.0283,8.8879,8.9961,0.004866867,1.650188704,562,2790,1676,5
1500015A07RIK,6.3503,6.1871,6.2988,7.3063,6.9985,6.9731,7.7028,6.892,6.9511,6.3248,5.6334,5.3671,5.6663,5.2773,4.3923,0.039580423,3.248506407,2089,935,1512,4
1600012F09RIK,8.8329,9.0243,8.8992,7.994,8.0324,7.8897,7.9495,7.7242,7.614,6.6821,5.4322,6.9918,7.6614,8.1195,7.2759,0.08930505,2.069670457,2597,2356,2476.5,3
1600027N09RIK,8.2995,8.0413,8.1078,8.2351,8.3221,8.1966,8.2544,8.0785,8.0651,8.4867,8.368,8.4499,7.8899,7.864,7.9199,0.006728392,1.460208007,765,2927,1846,8
1700008F19RIK,4.9046,4.9376,5.1586,4.5338,4.6458,4.5318,4.847,4.8706,4.9223,4.3923,4.3923,4.481,4.6202,4.8032,4.7694,0.008472604,1.391731763,936,2974,1955,3
1700009P17RIK,5.8725,5.6378,5.784,5.8871,5.7504,6.4288,4.9196,5.9112,6.1921,6.5967,7.1629,6.8816,6.938,6.5076,6.9256,0.078079254,2.037269714,2512,2459,2485.5,1
1700010I14RIK,6.8715,6.3554,6.6321,5.3683,5.8895,5.6623,4.9422,4.998,4.3923,6.0659,5.605,6.2108,4.9251,5.439,5.0828,0.03837019,2.218797036,2067,2005,2036,9
1700012B09RIK,4.3923,4.3923,4.4728,4.3923,4.3923,4.9926,5.6275,4.3923,5.473,5.6171,6.4804,5.61,7.7605,6.5695,5.9824,0.158469539,2.164530751,2860,2108,2484,1
1700012D01RIK,5.9347,5.3918,5.6776,5.4088,4.9469,6.1051,5.5674,5.7879,5.8367,6.8258,7.1354,6.5018,6.5515,5.7943,6.3584,0.048710728,2.07269994,2230,2344,2287,1
1700017B05RIK,7.0003,6.9221,7.1917,6.0836,7.808,7.1317,8.5155,9.3425,8.8525,8.6573,8.0887,8.8602,9.5339,9.9604,9.8263,0.041870451,2.251696958,2130,1926,2028,1
1700019D03RIK,7.4601,7.645,8.0225,7.5086,7.4575,7.6994,7.4586,6.5249,6.2672,9.4017,9.3858,8.6112,7.4326,7.8145,7.6473,0.017875241,5.068572086,1488,413,950.5,10
1700019E19RIK,5.4047,5.2919,5.4143,5.4834,4.5393,6.3985,4.3923,5.4585,6.025,6.3181,6.9218,6.8554,7.1764,6.4852,6.5701,0.08401103,2.567148024,2564,1482,2023,1
1700021C14RIK,7.1021,7.1044,7.3275,6.7977,6.8884,6.3101,6.7649,6.1166,6.2323,5.9564,5.651,5.7248,4.3923,4.9649,5.1613,0.022001652,2.453806773,1632,1619,1625.5,4
1700023D09RIK.GM2485,5.3989,5.8828,5.6158,5.8288,5.4715,5.1314,5.8307,5.5482,6.2438,4.3923,4.3923,4.693,5.2171,4.8935,5.2228,0.015414465,2.720912775,1377,1303,1340,3
1700025G04RIK,6.8191,6.6996,7.1521,8.5919,8.9105,9.5256,8.4852,9.5163,9.4282,6.9936,7.7957,8.1948,7.0577,6.069,5.6544,0.026280057,7.171499746,1781,219,1000,5
1700025K23RIK,4.3923,4.3923,4.3923,5.3796,5.3071,5.8842,4.3923,5.2993,5.8583,6.413,6.937,6.9545,6.4431,5.9444,6.3475,0.052581397,2.849134374,2275,1204,1739.5,2
1700028N14RIK,6.4118,6.3201,6.4848,7.7429,7.3037,7.4395,8.6234,8.0129,8.1314,7.0891,6.5823,6.6433,7.1717,6.9287,6.2081,0.026346367,2.823417734,1783,1228,1505.5,5
1700029H14RIK,5.6624,5.257,5.5175,5.1064,4.798,4.6729,4.3923,4.3923,4.3923,4.3923,4.3923,4.4324,4.8672,4.9399,4.7389,0.004857103,1.393037401,558,2972,1765,9
1700029I15RIK,8.1818,7.224,7.3765,8.1797,7.3848,6.7625,8.1573,5.5685,5.5533,9.544,9.4337,9.0773,9.0555,8.8329,9.0934,0.022286179,5.240763547,1643,387,1015,10
1700056E22RIK,5.7176,5.7835,5.935,6.4275,6.1683,5.8352,7.3427,6.6547,6.5665,5.7416,4.3923,5.0446,5.7575,6.3581,4.876,0.088068279,3.117011602,2591,1001,1796,5
1700088E04RIK,8.2637,7.9152,8.1831,6.9167,6.9269,6.7532,6.8226,7.2491,7.4471,4.5386,4.562,6.495,6.8952,7.3148,6.8378,0.069195588,3.258272436,2437,925,1681,3
1700100M05RIK,6.4905,6.196,6.4364,6.758,5.96,5.423,8.1025,7.1019,7.0703,6.6566,5.668,4.619,5.1575,4.8504,4.3923,0.044237938,4.896738362,2168,436,1302,4
1700106N22RIK,6.2827,6.1602,6.0466,6.7341,6.6081,6.636,6.0025,6.6549,7.144,7.2146,7.7364,7.7175,8.2122,7.9066,8.3141,0.02992371,2.808270482,1898,1241,1569.5,1
1700110K17RIK,6.6439,6.482,6.3283,6.6251,6.4162,6.0836,5.6508,4.3923,4.3923,6.4848,6.1175,6.0632,6.11,6.3243,6.1257,0.048881812,2.497309351,2232,1560,1896,9
1700124K17RIK,9.2629,9.372,9.3242,7.6731,7.3641,7.7118,7.9955,8.5646,8.831,6.8281,8.0545,7.6861,7.4049,6.4694,7.6418,0.129273809,2.241375679,2783,1950,2366.5,3
1810007M14RIK,9.5149,9.1371,9.2108,7.6806,8.2115,8.3559,8.3223,8.6329,8.3478,8.1951,8.1095,7.9663,7.3093,7.2322,7.5938,0.009524575,2.060718577,1070,2382,1726,3
1810009J06RIK.GM2663,4.881,5.2111,4.783,4.6594,4.4372,4.4536,4.4973,4.7481,5.281,5.4345,5.593,6.0895,6.3477,6.4199,6.1943,0.02286871,2.780480743,1665,1264,1464.5,1
1810011H11RIK,5.6509,5.6509,5.584,5.4614,5.3538,5.6403,5.4142,5.5193,5.6282,5.4562,5.6434,5.5487,6.6264,6.4668,6.481,0.002044855,1.9686182,196,2592,1394,7
1810043H04RIK,10.4322,10.4339,10.3177,10.7528,10.6518,10.7078,10.9677,10.8641,10.7871,10.6942,10.7718,10.3854,9.8209,9.4728,9.8458,0.008592502,2.061863987,959,2378,1668.5,4
1810049H13RIK,7.0679,6.5093,6.3686,7.5471,7.9212,7.6551,6.968,7.4152,7.2462,6.9604,6.983,7.0962,5.2337,6.043,6.5217,0.041391913,2.310752739,2121,1836,1978.5,5
2010001M09RIK,4.3923,4.3923,4.3923,7.1001,7.909,9.1411,7.6513,9.1,8.1681,6.7661,5.2042,4.3923,6.5767,5.5231,4.3923,0.07074994,6.488103049,2448,265,1356.5,5
2010002N04RIK,4.4601,4.5059,4.3923,6.6575,7.0984,4.3923,4.3923,8.1862,9.7373,10.8052,11.3757,11.3272,11.6008,11.3391,11.8578,0.017188247,8.088208903,1457,175,816,2
2010004M13RIK,9.5095,9.1118,9.0487,6.656,7.9293,8.2852,8.0184,9.0129,8.3423,8.1925,8.0745,7.6754,5.679,6.4161,7.093,0.034435131,3.83362879,1996,686,1341,8
2010107G23RIK,5.3816,5.4804,5.4125,5.4521,5.8179,5.247,4.9434,5.2567,5.4922,6.6787,6.5982,7.0299,5.9328,6.3928,6.1082,0.010994655,2.724676364,1175,1297,1236,1
2010107H07RIK,10.8058,10.5719,10.7542,11.3337,11.3961,11.2242,11.2704,11.3252,11.3069,10.7188,10.7027,10.9219,10.398,10.6419,10.5489,0.004473384,1.691614794,506,2765,1635.5,5
2010111I01RIK,8.1194,7.6995,7.965,7.4593,7.2159,5.9291,8.0019,7.4803,8.1328,8.5102,8.8584,8.6962,9.2101,9.0278,9.4299,0.016423456,2.315612969,1431,1827,1629,1
2010205A11RIK.GM10883.GM1420.GM7202.IGK.IGK.C.IGK.V28.LOC100047628,4.8654,5.6048,5.7746,11.8951,11.5695,12.5519,4.3923,9.4651,7.0031,4.3923,5.1091,4.3923,10.5163,6.8363,4.3923,0.466971632,6.363578576,3008,271,1639.5,5
2010309G21RIK.IGL.C2,6.4177,6.7414,6.9652,8.0882,8.259,9.4354,6.0357,8.4678,6.9265,6.4652,5.1318,4.3923,7.198,5.2083,4.3923,0.331010082,3.541794942,2978,799,1888.5,4
2010309G21RIK.IGL.C2.IGL.C3,4.5466,5.7196,6.2216,10.4805,11.0526,12.0646,10.4087,11.9145,10.9749,9.6647,8.4624,6.1091,9.3872,8.4702,6.2944,0.112720344,5.719713898,2729,333,1531,5
2210010C17RIK,5.8277,5.8842,5.9128,5.8445,6.0808,6.0271,6.6065,6.8702,6.4315,5.474,4.5414,4.8446,4.5489,5.0651,5.0291,0.010076952,3.440735826,1129,832,980.5,4
2210020M01RIK,5.223,5.2159,5.0147,4.3923,5.993,7.1389,6.725,8.0508,7.3292,6.0421,5.1768,5.2282,4.7463,5.5181,5.1472,0.025313099,4.640489282,1757,486,1121.5,6
2210403K04RIK,5.6363,5.1724,5.4239,4.3923,4.3923,4.3923,8.0076,7.6326,8.1788,8.3888,8.7579,8.5915,9.4715,9.1475,9.4272,0.010025817,2.64279859,1126,1386,1256,1
2300004M11RIK,6.2549,5.8324,6.0387,6.9189,6.2951,5.8814,6.2391,5.001,5.3286,5.0468,5.3031,5.4879,6.3323,6.802,5.7941,0.166969362,2.067973757,2872,2357,2614.5,7
2310001H17RIK,6.2024,6.3799,6.3437,6.3141,6.5466,6.5072,4.6354,4.3923,4.3923,7.0034,6.5253,6.3666,5.9802,6.1774,6.0272,0.003044806,4.555693934,340,504,422,10
2310003H01RIK,6.2444,6.0886,6.2534,6.363,6.1498,6.042,7.1999,6.9666,6.9141,6.791,6.7655,6.4865,6.1275,6.0503,6.2,0.00967252,1.800342592,1086,2689,1887.5,6
2310009A05RIK,8.4082,8.1435,8.392,8.8034,9.0391,9.2287,7.7473,8.5365,8.3692,8.1106,8.6199,8.0124,7.1203,5.6247,7.5747,0.120578349,2.38652793,2758,1710,2234,4
2310010J17RIK,7.661,7.607,7.5664,7.8243,7.4321,7.5054,8.1771,7.875,8.0646,7.5725,8.0591,7.1151,6.6095,4.6833,6.9463,0.060735823,2.759687788,2372,1274,1823,8
2310014D11RIK,8.902,8.2952,8.6613,6.9974,6.4316,6.9031,8.0077,7.4901,7.3585,5.6563,4.3923,4.3923,4.9412,4.3923,4.3923,0.009367923,8.580696537,1038,155,596.5,3
2310016C08RIK,6.6741,6.4111,6.6017,4.3923,4.3923,4.3923,7.1005,7.9222,9.2579,10.4203,10.7864,10.9177,11.2045,10.9495,11.1237,0.0074117,6.638840848,824,253,538.5,1
2310016M24RIK,10.126,10.0227,10.0707,10.0614,9.9677,10.0211,10.2583,10.1993,10.1322,9.9033,9.9026,9.8406,9.7005,9.6526,9.6272,0.002367024,1.451593087,244,2930,1587,4
2310022B05RIK,6.1686,6.2581,6.1241,6.1579,5.7828,6.0101,7.6082,7.1592,7.0797,7.0272,6.9986,6.3123,6.219,5.4964,6.1063,0.044628714,2.090461094,2173,2289,2231,6
2310026L22RIK.HP1BP3,6.3888,6.6672,6.6284,6.1521,5.6156,5.3255,6.1038,5.7468,6.3261,4.3923,5.0881,5.563,5.3978,5.2664,5.1333,0.082094262,2.011321511,2545,2548,2546.5,3
2310031A07RIK,6.2599,6.4125,6.4301,8.0496,8.0976,9.3656,4.3923,7.6916,6.5174,6.9406,7.9909,4.3923,9.5017,8.7532,9.3041,0.034270667,5.644426835,1988,337,1162.5,7
2310035P21RIK,9.4066,9.8542,9.6185,8.8036,9.2609,9.1856,9.3271,9.5712,9.4969,9.3153,9.5524,9.183,7.4663,6.8372,8.4369,0.016004669,3.343979663,1409,879,1144,8
2310039F13RIK,4.5813,4.6677,4.3923,4.3923,4.3923,5.7977,4.3923,6.0664,6.2134,7.5466,7.693,8.0433,7.7695,7.4834,7.1963,0.027384593,3.11933031,1805,999,1402,1
2310044G17RIK,8.5438,8.7981,8.6885,8.8571,9.2053,8.6999,8.9075,8.7852,8.6441,8.291,8.1225,7.9786,6.9944,6.6332,7.5895,0.008372138,3.166507245,917,979,948,4
2310046K01RIK,5.655,5.704,6.0655,5.4977,6.5963,4.7531,5.9624,7.0874,7.545,7.4741,8.1713,8.0031,8.692,8.5981,9.1131,0.031961187,3.056147473,1934,1034,1484,1
2310050P20RIK,6.2513,5.7696,5.9379,6.2308,6.6927,6.5582,5.9096,6.285,5.8932,5.0324,4.3923,5.0212,4.3923,4.3923,4.3923,0.008841727,2.955674565,977,1115,1046,4
2310079F09RIK,5.665,5.6837,5.6913,5.2331,5.3081,5.8372,4.3923,5.0696,5.0843,6.5297,6.6819,7.0392,6.955,6.7199,6.5397,0.0076043,3.204588576,838,958,898,1
2410002O22RIK,6.4987,6.5024,6.3213,6.6263,7.2514,7.1079,7.4766,7.0428,6.929,6.6798,6.3233,6.1678,5.7226,5.7064,6.2842,0.030842592,2.382892525,1912,1717,1814.5,4
2410066E13RIK,8.8219,8.6966,8.512,7.2869,7.3129,5.9984,8.3568,7.4383,7.3818,6.7359,5.164,5.031,4.9818,5.0053,4.8422,0.025595561,5.635312604,1760,339,1049.5,3
2410127L17RIK.LOC677553,8.5213,8.5151,8.4961,9.1544,9.2022,9.0994,9.2924,9.1407,9.0446,9.8959,9.8041,9.7582,9.8523,9.7965,9.9039,0.004556313,1.612911917,523,2817,1670,2
2500002B13RIK,4.72,4.6922,4.6268,4.7145,4.5895,5.0529,4.6931,4.8369,4.9967,6.0605,6.1791,6.1604,6.2679,6.0173,6.1207,0.001979555,2.499782953,185,1555,870,1
2510009E07RIK,5.442,5.2692,5.4872,6.1063,6.2803,6.8862,5.0971,5.727,5.8877,6.5545,6.94,7.0645,6.3352,5.9122,6.1786,0.033158668,2.343615819,1973,1769,1871,2
2600001M11RIK,6.9463,6.8142,6.9708,8.6438,8.8436,8.492,7.125,7.6092,8.2487,8.5127,9.0646,9.0152,8.8148,8.597,9.2223,0.057726263,2.251342467,2346,1929,2137.5,2
2600002B07RIK,6.4539,6.2626,6.4373,4.7179,5.4924,5.1545,5.0974,5.1361,4.3923,6.4383,5.9399,5.7632,5.8083,6.2068,6.1836,0.036807197,2.156934945,2039,2121,2080,9
2610002M06RIK,7.4402,7.5558,7.4761,6.838,6.8358,6.729,7.0222,6.7145,6.7927,6.229,6.5099,6.344,5.5226,5.5006,6.1157,0.022413973,2.175821477,1646,2088,1867,4
2610019F03RIK,12.3646,12.2877,12.2689,10.9589,10.2694,9.4932,11.6846,10.9657,11.4022,8.351,9.1961,8.5783,8.2832,4.3923,7.6066,0.010025817,13.95269773,1124,57,590.5,3
2610019N06RIK,7.2807,7.4106,7.5119,6.1676,6.526,6.7097,7.1999,7.3006,6.9166,6.9116,6.6221,6.4415,6.0359,6.0337,6.0721,0.011746067,2.162137047,1236,2114,1675,8
2610024B07RIK,4.3923,4.3923,4.3923,4.3923,4.3923,4.3923,4.3923,4.3923,4.3923,4.8068,5.5628,4.6594,6.0044,4.9633,5.4541,0.106812486,2.141893251,2701,2149,2425,1
2610027H17RIK,4.6771,4.4323,4.8663,4.8448,5.3358,5.4117,5.6254,4.9116,4.3923,6.9543,6.604,5.7884,5.7076,5.8369,5.9107,0.083178999,2.806766542,2554,1245,1899.5,2
2610029I01RIK,8.3058,8.1631,8.1889,9.5343,9.7213,9.5852,8.251,8.7697,8.6609,9.8109,9.8162,9.8924,10.0358,10.1068,10.212,0.001840943,2.728546565,176,1293,734.5,2
2610030P05RIK,5.4053,5.2948,5.2544,5.0613,5.0146,4.815,4.8089,4.3923,4.3923,5.7592,5.3855,5.7459,4.7601,5.0488,4.4832,0.02409918,2.187516241,1701,2059,1880,9
2610035D17RIK,5.1199,4.8536,4.9818,4.486,4.3923,4.3923,5.9004,5.6637,5.3685,5.2197,5.7297,4.7814,4.3923,4.3923,4.3923,0.034409528,2.478924836,1993,1586,1789.5,6
2610039C10RIK,10.3271,10.5959,10.4455,10.1005,10.1273,10.27,9.205,9.5129,9.4241,9.9457,9.9873,9.9918,10.1673,10.1127,10.0935,0.003470194,1.612604511,377,2820,1598.5,9
2610201A13RIK,7.9058,7.8146,7.5722,9.4102,9.4962,8.3837,10.307,9.7009,10.0068,9.2267,9.1244,9.3559,8.698,8.9707,9.1718,0.023561678,2.052793031,1683,2405,2044,5
2610318N02RIK,4.9232,5.4072,5.4089,6.1708,6.3548,6.1109,5.2642,5.9202,6.4151,6.6171,7.033,7.1312,7.0142,6.9256,7.2824,0.055907821,2.182157027,2322,2071,2196.5,2
2700007P21RIK,8.958,8.6202,8.7314,8.1127,7.8811,8.0716,7.7143,8.2569,8.9491,11.2735,11.2832,11.1228,10.9999,10.8578,11.0423,0.001092637,7.143450694,91,222,156.5,1
2700008G24RIK,4.3923,4.3923,4.3923,4.3923,4.3923,4.3923,4.3923,4.3923,4.3923,5.8329,5.8588,5.9922,5.899,5.6248,5.4541,0.002194347,2.851585557,223,1202,712.5,1
2700089E24RIK,8.5188,8.8997,8.8111,8.6103,8.3467,8.5647,8.7452,8.7837,9.0644,7.336,7.7622,7.9411,8.5187,8.3863,8.2654,0.016084393,2.034785851,1414,2468,1941,3
2700097O09RIK,6.0544,5.5732,6.3142,6.3412,6.9473,6.8633,4.9917,6.6687,6.9286,7.6624,8.1208,8.0103,7.5029,7.2482,7.9286,0.061110112,2.549503742,2376,1503,1939.5,2
2810001A02RIK,9.4789,8.9348,8.9896,9.6891,9.4739,9.2124,10.8942,10.4576,10.4968,9.4341,8.5408,9.3717,9.3091,9.6496,8.7095,0.023331942,2.279879542,1675,1883,1779,6
2810001G20RIK,8.1084,8.0029,7.521,6.5681,6.9331,6.8,6.9456,6.9792,6.8585,6.3404,6.197,6.1051,5.1884,5.3922,5.7545,0.002530398,2.800144962,282,1249,765.5,3
2810004N23RIK.SETD6,8.09,7.7785,7.817,7.3712,7.7595,7.7955,7.4574,8.0771,7.8202,8.0655,8.4268,7.6677,5.7389,4.3923,7.2011,0.079866862,3.716992666,2526,730,1628,8
2810013P06RIK,8.4514,8.2634,8.3387,9.1467,9.0787,8.6253,9.1284,8.2733,8.4873,8.0966,7.6707,7.8249,7.1676,7.4736,7.4118,0.03005064,2.113881754,1901,2228,2064.5,4
2810021J22RIK,8.5404,8.3396,8.1554,6.3194,7.2468,6.8269,6.6244,7.315,6.8881,6.9958,7.2576,6.557,4.3923,4.3923,6.6055,0.109151249,2.737588407,2714,1289,2001.5,8
2810039B14RIK,5.6759,5.5817,5.6667,5.6018,5.3211,5.0527,4.8587,4.5603,5.1801,6.1954,6.4245,6.4347,5.7102,5.591,5.7889,0.005210447,2.826291474,601,1222,911.5,10
2810040C05RIK,6.5929,6.3579,6.2673,5.4764,5.386,5.7444,5.6143,5.4324,5.0674,6.6691,6.4356,6.075,6.0173,5.7465,5.848,0.034330932,2.028236958,1990,2486,2238,9
2810043O03RIK,7.1587,6.7692,6.8495,6.4986,6.9313,7.0488,7.1506,7.4788,7.063,7.1168,6.5727,6.8701,5.7252,6.1961,5.5355,0.018374681,2.660258905,1510,1370,1440,4
2810408I11RIK,6.8824,6.6965,6.7246,7.2567,6.5081,6.2748,5.6524,4.3923,5.5005,5.9843,6.4543,6.6385,7.1662,6.9283,6.9045,0.018470196,2.728469181,1514,1294,1404,9
2810417H13RIK,5.5029,5.0169,5.2082,9.5635,9.9721,10.7974,8.7003,10.2825,9.9158,10.4993,10.6015,10.6747,11.2233,11.0665,10.9897,0.028289426,2.221502455,1834,2002,1918,2
2810433K01RIK,5.9075,5.9538,5.4004,5.0724,4.9941,6.491,5.2384,6.5656,6.8167,7.1046,7.7969,7.366,8.1356,7.4392,7.8731,0.08330122,2.490777923,2556,1567,2061.5,1
2810453I06RIK,6.7949,6.7921,7.0043,6.0789,6.4301,6.0893,7.2174,7.304,7.0849,6.4403,6.1416,6.2242,6.2317,6.4388,6.4664,0.005518352,1.917975649,645,2620,1632.5,6
2810454H06RIK,5.7443,5.5707,5.6191,4.9097,4.6904,4.5343,5.3804,5.1062,5.2942,4.3923,4.3923,4.3923,4.504,4.4567,4.4463,0.002251189,1.872308509,230,2644,1437,3
2810488G03RIK,5.3351,5.2803,5.2457,5.3362,5.4729,6.7112,7.1344,7.2249,6.5719,6.5699,6.0443,5.0913,5.852,5.1491,4.6396,0.069945182,3.318777324,2444,890,1667,6
2900001G08RIK,4.3923,4.3923,4.3923,4.3923,4.3923,4.3923,4.3923,4.3923,6.5021,7.6068,8.11,8.3677,7.1037,6.8441,7.301,0.029939062,6.159529589,1899,285,1092,1
2900026A02RIK,5.2515,5.376,5.2238,5.1781,7.1985,5.2742,5.2844,5.4467,5.5516,10.586,10.3662,10.588,10.5094,10.6949,10.5258,4.24E-05,36.04666863,4,7,5.5,1
2900056M20RIK,6.2278,6.2366,6.0799,4.47,4.641,4.3923,5.2778,4.3923,4.3923,6.248,5.5982,5.5926,4.943,5.3673,4.9049,0.087707865,2.181368805,2587,2075,2331,9
2900057E15RIK,5.7241,5.4364,5.5333,4.9423,6.5455,6.3017,5.9665,6.8179,5.6441,4.8425,4.7714,5.7598,6.7643,7.7859,6.2783,0.093089096,3.769356993,2623,706,1664.5,7
2900064B18RIK,5.352,5.1199,5.8664,6.316,5.8357,6.207,6.8994,6.7704,7.1666,5.8456,6.4293,6.2546,5.7043,4.6112,5.185,0.018561284,3.346162715,1517,876,1196.5,6
2900076A07RIK,6.9486,6.2279,6.2856,4.3923,4.8374,4.5727,5.5129,6.0208,6.1819,4.3923,5.0413,5.0744,4.3923,4.3923,4.9277,0.036015293,2.595061663,2027,1439,1733,3
2900076A13RIK,4.3923,4.3923,4.3923,4.3923,4.3923,4.6616,5.1851,6.4474,6.0507,4.3923,4.3923,4.7118,4.3923,4.6712,4.6482,0.037335363,2.866920759,2055,1189,1622,6
2900093K20RIK,5.9417,5.6793,6.0727,6.991,6.371,5.9478,7.5392,6.5421,6.9369,6.4559,6.2389,6.3932,5.631,5.4683,4.5411,0.036415254,2.808396523,2037,1240,1638.5,6
3000002C10RIK,6.8122,7.1471,7.1646,6.7717,6.6011,6.5812,6.5196,6.3505,6.5376,7.0341,7.0707,7.0444,7.231,7.1802,7.1953,0.001210198,1.603922641,97,2829,1463,9
3100002L24RIK.GM14434.OTTMUSG00000016609,8.1599,8.4955,8.0819,6.4499,6.6146,7.1392,6.6842,6.9362,6.5643,7.9438,7.9501,7.716,7.6533,7.2884,7.4413,0.009129519,2.211134889,1009,2016,1512.5,9
3110021A11RIK,6.0731,6.1601,6.023,6.2401,6.2046,5.7395,5.7176,4.8398,4.8972,4.5237,4.3923,5.1733,6.4265,7.1149,5.9153,0.04696038,3.657964612,2205,752,1478.5,7
