Sample,variable,value
m1,TRA,0.43778337531486144
m2,TRA,0.6416452442159383
m3,TRA,0.644544997486174
m4,TRA,0.24242424242424243
m1,TRB,0.6765743073047858
m2,TRB,0.8318766066838046
m3,TRB,0.7963800904977375
m4,TRB,0.6884848484848485
m1,TRAB,0.3178841309823678
m2,TRAB,0.548586118251928
m3,TRAB,0.5238813474107592
m4,TRAB,0.17757575757575758
