value
GZMA
GZMB
CCR2
CCL5
AHNAK
ADAM8
CXCR6
IL18RAP
PLAC8
IL12RB2
ANXA2
CCL3
LGALS1
PRF1
LGALS3
CCR5
ID2
IFNGR1
PIK3R1
LAMC1
VIM
CCL9
SPN
FAM129A
KLRK1
NR3C1
ETS1
DGAT1
NKG7
VPS37B
FASL
WDR43
NME1
NOP56
HEATR1
IPO5
FTSJ3
BTLA
ADH5
MYBBP1A
PPA1
GART
ATAD3A
NSUN2
RRP1B
DDX21
GRAMD1B
DKC1
PA2G4
GNL3
NPM1
NOP58
NOLC1
TNFRSF4
NRN1
BZW2
NCL
LRIG1
TNFSF11
EEA1
MYC
CRTAM
RAMP3
TNFSF8
GBP2
SELL
TCF7
SOCS3
LEF1
SAMHD1
CCR7
GBP4
SSH2
IFI47
JUN
IRF1
KLF2
IGTP
DGKA
ABLIM1
RAPGEF6
5730508B09RIK
S1PR1
STAT1
IL4RA
KIF1B
ZEB1
PDE2A
INADL
SATB1
GBP7
PIK3IP1
KBTBD11
BEND4
